"GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description"
101928895,0.999854284110087,0.837593947722518,0.441109676797449,-0.204972068597773,-0.0904151629316682,32.6976551379677,"LINC01786","long intergenic non-protein coding RNA 1786"
6339,0.999854284110087,0.491377076203761,0.383051448932989,0.68812022332931,0.263585448586384,75.667130292063,"SCNN1D","sodium channel epithelial 1 subunit delta"
116983,0.999854284110087,0.786766620333666,0.239591399675369,0.270511695726448,0.0648122758076572,1784.58474290977,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
109623456,0.999854284110087,0.958137694725027,0.662187512509608,0.0524907134546165,0.0347586949723672,17.9072123680453,"SNORD167","small nucleolar RNA, C/D box 167"
126789,0.999854284110087,0.573661597206979,0.2000071385969,-0.562667091315397,-0.112537434916633,219.166082397541,"PUSL1","pseudouridine synthase like 1"
54973,0.999854284110087,0.916102157483762,0.133070030530329,-0.105344873062855,-0.0140182454746878,1382.60849196496,"INTS11","integrator complex subunit 11"
80772,0.999854284110087,0.698226285600511,0.21743860985241,-0.387715903193059,-0.0843044070079704,312.291243017935,"CPTP","ceramide-1-phosphate transfer protein"
83756,0.999854284110087,0.931785458575231,0.487974418613113,0.0855986664673177,0.0417699595034471,20.4941985123992,"TAS1R3","taste 1 receptor member 3"
1855,0.999854284110087,0.658774992938287,0.162650091353628,-0.441605099860397,-0.0718271098345217,691.703174048232,"DVL1","dishevelled segment polarity protein 1"
54587,0.999854284110087,0.985460710783063,0.325839409513475,0.0182233052979661,0.00593787103767307,165.720212280737,"MXRA8","matrix remodeling associated 8"
54998,0.999854284110087,0.902688191291861,0.171600813982143,-0.122266210512493,-0.0209809812464558,855.969094114513,"AURKAIP1","aurora kinase A interacting protein 1"
81669,0.999854284110087,0.910303157711926,0.184871966639142,0.112656161824609,0.0208269661905329,2092.38347578715,"CCNL2","cyclin L2"
148413,0.999854284110087,0.466641398814797,0.242578294860517,-0.727954566342926,-0.176585977439394,261.110797791315,"MRPL20-AS1","MRPL20 antisense RNA 1"
55052,0.999854284110087,0.862661845314246,0.161627803327829,-0.172986746519613,-0.027959467844793,507.880089961831,"MRPL20","mitochondrial ribosomal protein L20"
219293,0.999854284110087,0.719244330936373,0.666481487207233,0.359468911263735,0.239579374583819,12.5337456673951,"ATAD3C","ATPase family AAA domain containing 3C"
83858,0.999854284110087,0.886494541108664,0.176152041222193,-0.142741245407192,-0.0251441617450748,422.984459190702,"ATAD3B","ATPase family AAA domain containing 3B"
55210,0.999854284110087,0.718514230528129,0.169647287551843,-0.360445199628347,-0.0611485504280316,336.497568938785,"ATAD3A","ATPase family AAA domain containing 3A"
29101,0.999854284110087,0.820150614425304,0.185508827527882,0.227351263042224,0.0421756662439461,1601.44825520364,"SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase"
643988,0.999854284110087,0.733821163593927,0.271819550094433,0.340046960326812,0.0924314117670137,209.904377607623,"FNDC10","fibronectin type III domain containing 10"
105378586,0.999854284110087,0.905601839326487,0.490240390710731,-0.118587916124537,-0.0581365863344642,24.6334653814241,"LOC105378586","uncharacterized LOC105378586"
142678,0.999854284110087,0.982539873145595,0.185820298030101,0.021884770627412,0.0040666346003061,945.63105182151,"MIB2","MIB E3 ubiquitin protein ligase 2"
8510,0.999854284110087,0.9876723605566,0.590101464458491,-0.0154510195527571,-0.00911766926545875,23.12876235681,"MMP23B","matrix metallopeptidase 23B"
984,0.999854284110087,0.779689878293829,0.227891868497837,0.279723199042008,0.0637466424918756,1258.00221391965,"CDK11B","cyclin dependent kinase 11B"
728661,0.999854284110087,0.620737432518966,0.363688769182226,-0.494805484568827,-0.179955197667452,1421.1355417727,"SLC35E2B","solute carrier family 35 member E2B"
